,cluster
64632,5
61166,6
38974,2
223855,7
148670,8
33265,4
270562,8
132257,7
272151,0
171516,8
233443,0
146801,4
298754,5
223896,7
194764,1
213464,5
155233,2
31299,5
174578,4
234483,3
71280,8
19098,6
215726,6
238402,8
285853,1
287865,3
11783,8
80773,2
242348,1
132488,7
186210,0
290268,6
95299,8
236127,2
152286,6
154236,1
155020,5
262852,2
150978,7
86246,1
281170,1
61893,3
68425,4
163931,4
197452,6
132778,7
165646,3
45349,1
44450,8
163172,7
291303,1
235440,1
157560,0
220024,1
108198,4
82846,0
86433,1
23817,5
24662,2
43400,3
239873,2
172718,5
53799,8
207482,8
92614,0
171425,8
18584,0
58055,7
259362,8
54574,8
190511,2
94885,3
43714,3
29807,8
222755,1
141145,0
47310,5
228900,4
153798,1
138749,5
73766,2
30783,1
73747,2
165394,6
59476,4
55703,1
